"id","movie_name","year","topics","writer","director","actors","official_site","movie_making_zone","IMDb","movie_rate","votes"
"1298624",闻香识女人 Scent of a Woman,"1992",剧情,博·古德曼,"马,丁,·,布,莱,斯,特","阿尔·帕西诺,克里斯·奥唐纳,詹姆斯·瑞布霍恩,加布里埃尔·安瓦尔,菲利普·塞默·霍夫曼,理查德·文彻,布莱德利·惠特福德,罗谢尔·奥利弗,Margaret Eginton,Tom Riis Farrell,Nicholas Sadler,托德·路易斯,马特·史密斯,吉恩·坎菲尔德,弗兰西丝·康罗伊",, 美国, tt0105323,9.1,775598.0
"25716096",狗十三,"2013","剧情,家庭",焦华静,"曹,保,平","张雪迎,果靖霖,智一桐,代旭,黄诗佳,曹馨月,聂鑫,周珍",, 中国大陆, tt3401962,8.2,466194.0
"1292064",楚门的世界 The Truman Show,"1998","剧情,科幻",安德鲁·尼科尔,"彼,得,·,威,尔","金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎·麦克艾霍恩",, 美国, tt0120382,9.3,1463780.0
"1292656",心灵捕手 Good Will Hunting,"1997",剧情,本·阿弗莱克,"格,斯,·,范,·,桑,特","马特·达蒙,罗宾·威廉姆斯,本·阿弗莱克,斯特兰·斯卡斯加德,明妮·德里弗,卡西·阿弗莱克,科尔·豪瑟,约翰·迈顿,丹·华盛顿,艾莉森·福兰德,维克·萨海,史蒂文·科兹洛夫斯基,斯科特·威廉姆·文特斯,吉米·弗林,乔治·普林普顿,弗朗切斯科·克莱门特",, 美国, tt0119217,8.9,632055.0
"1292365",活着,"1994","剧情,家庭,历史",芦苇,"张,艺,谋","葛优,巩俐,姜武,牛犇,郭涛,张璐,倪大红,肖聪,董飞,刘天池,董立范,黄宗洛,刘燕瑾,李连义,杨同顺",, 中国大陆 / 中国香港, tt0110081,9.3,734568.0
"27010768",寄生虫 기생충,"2019","剧情,喜剧",奉俊昊,"奉,俊,昊","宋康昊,李善均,赵汝贞,崔宇植,朴素丹,李姃垠,张慧珍,郑知晓,朴明勋,朴叙俊,朴根禄,郑贤俊,朴孝新,安德烈亚斯·弗龙克",, 韩国, tt6751668,8.8,1226100.0
"26752088",我不是药神,"2018","剧情,喜剧",韩家女,"文,牧,野","徐峥,王传君,周一围,谭卓,章宇,杨新鸣,王佳佳,王砚辉,贾晨飞,龚蓓苾,宁浩,李乃文,岳小军,苇青,富冠铭,巴拉特·巴蒂,喜利图,张海艳,朱耕佑",, 中国大陆, tt7362036,9.0,1886310.0
"25724855",房间 Room,"2015","剧情,家庭",艾玛·多诺霍,"伦,尼,·,阿,伯,拉,罕,森","布丽·拉尔森,雅各布·特伦布莱,肖恩·布里吉格斯,温迪·古逊,阿曼达·布鲁盖尔,乔·平格,琼·艾伦,卡斯·安瓦尔,威廉姆·H·梅西,兰道尔·爱德华,罗德里戈-费尔南德斯-斯托尔,罗里·奥谢,汤姆·麦卡穆斯,杰克·富尔顿,梅根·帕克",, 爱尔兰 / 加拿大 / 英国 / 美国, tt3170832,8.8,340808.0
"1291557",花样年华 花樣年華,"2000","剧情,爱情",王家卫,"王,家,卫","梁朝伟,张曼玉,潘迪华,萧炳林,张耀扬,孙佳君,钱似莺,顾锦华",, 中国香港, tt0118694,8.7,524928.0
"1292220",情书 Love Letter,"1995","剧情,爱情",岩井俊二,"岩,井,俊,二","中山美穗,丰川悦司,酒井美纪,柏原崇,范文雀,篠原胜之,铃木庆一,田口智朗,加贺麻理子,光石研,铃木兰兰,盐见三省,中村久美,梅田凡乃,长田江身子 ,小栗香织,神户浩,酒井敏也,山口诗史,山崎一,德井优,武藤寿美",, 日本, tt0113703,8.9,954313.0
